,Unnamed: 0,code,最新价,最新涨跌幅,market_code,股票代码,流通a股[20100104],股票简称,dde大单净流入量[20100104],资金流向[20100104],dde大单净量[20100104],集中度90[20100104],主力资金流向[20100104],主力卖出金额[20100104],90%成本上限[20100104],主力买入金额[20100104],平均成本[20100104],资金流出inner[20100104],收盘获利[20100104],集中度70[20100104],90%成本下限[20100104],资金流入inner[20100104]
45,,600791,4.81,10.069,17,600791.SH,247318843.0,京能置业,-443559.0,-8565440.0,-0.17934703,11.111,-3772982.0,4189311.0,8.4,416329.0,7.58,13666911.0,20.129,7.856,6.72,5101471.0
46,,002725,8.91,0.906,33,002725.SZ,,跃岭股份,,,,,,,,,,,,,,
47,,002729,31.39,0.032,33,002729.SZ,,好利科技,,,,,,,,,,,,,,
48,,600777,2.70,2.662,17,600777.SH,526177882.0,新潮能源,128437.0,488139.0,0.02440943,8.01,-25702.0,8784435.0,2.09,8758733.0,1.94,23606725.0,17.418,5.7,1.78,24094864.0
49,,600821,6.54,1.238,17,600821.SH,416268225.0,金开新能,40434.0,-1304018.0,0.00971345,12.015,495455.0,3519875.0,6.2,4015330.0,5.87,16313846.0,57.037,7.841,4.87,15009828.0
50,,002732,17.05,0.828,33,002732.SZ,,燕塘乳业,,,,,,,,,,,,,,
51,,600811,2.66,1.141,17,600811.SH,1241070255.0,东方集团,442110.0,-6925257.0,0.03562329,11.216,556536.0,7152177.0,5.9,7708713.0,5.45,30300552.0,36.522,6.556,4.71,23375295.0
52,,600795,4.61,0.436,17,600795.SH,5447769058.0,国电电力,-4856704.0,-55627750.0,-0.08915033,15.185,-36783234.0,69973244.0,3.11,33190010.0,2.58,118409410.0,50.533,8.222,2.29,62781660.0
53,,002703,8.88,-0.448,33,002703.SZ,,浙江世宝,,,,,,,,,,,,,,
54,,002702,5.65,1.255,33,002702.SZ,,海欣食品,,,,,,,,,,,,,,
55,,002741,18.32,2.061,33,002741.SZ,,光华科技,,,,,,,,,,,,,,
56,,002679,10.45,0.674,33,002679.SZ,,福建金森,,,,,,,,,,,,,,
57,,002724,10.17,1.396,33,002724.SZ,,海洋王,,,,,,,,,,,,,,
58,,002734,9.46,0.106,33,002734.SZ,,利民股份,,,,,,,,,,,,,,
59,,600822,7.48,-0.532,17,600822.SH,186170298.0,上海物贸,-44056.0,3521411.0,-0.02366435,13.438,-1643141.0,3482454.0,9.75,1839313.0,8.97,12967933.0,54.761,7.383,7.44,16489344.0
60,,002700,5.63,5.037,33,002700.SZ,,ST浩源,,,,,,,,,,,,,,
61,,002708,6.65,0.911,33,002708.SZ,,光洋股份,,,,,,,,,,,,,,
62,,600827,10.15,3.150,17,600827.SH,212715854.0,百联股份,185190.0,-43869.0,0.0870598,21.854,396366.0,6115121.0,16.56,6511487.0,15.0,25606228.0,96.066,16.738,10.62,25562359.0
63,,600848,12.09,2.112,17,600848.SH,292141390.0,上海临港,-215300.0,-3393788.0,-0.07369719,10.68,-2597517.0,2917917.0,8.55,320400.0,7.86,9612881.0,53.796,6.262,6.9,6219093.0
64,,002735,18.40,0.000,33,002735.SZ,,王子新材,,,,,,,,,,,,,,
65,,600796,5.25,1.547,17,600796.SH,274001949.0,钱江生化,-274241.0,-3182996.0,-0.10008724,9.582,-2511173.0,3578496.0,8.12,1067323.0,7.52,12625274.0,26.745,6.971,6.7,9442278.0
66,,002682,4.10,2.500,33,002682.SZ,,龙洲股份,,,,,,,,,,,,,,
67,,002767,10.69,1.040,33,002767.SZ,,先锋电子,,,,,,,,,,,,,,
68,,600841,6.45,0.781,17,600841.SH,263309280.0,动力新科,-14550.0,-169684.0,-0.00552582,6.752,747193.0,0.0,12.49,747193.0,11.53,4156116.0,47.519,4.608,10.91,3986432.0
69,,002716,,,33,002716.SZ,,金贵银业,,,,,,,,,,,,,,
70,,002743,5.57,2.015,33,002743.SZ,,富煌钢构,,,,,,,,,,,,,,
71,,600864,4.70,0.642,17,600864.SH,546378196.0,哈投股份,-184662.0,-8360458.0,-0.03379747,11.261,-1655018.0,4933298.0,9.88,3278280.0,9.04,23316376.0,61.592,8.036,7.88,14955918.0
72,,002751,7.18,1.844,33,002751.SZ,,*ST易尚,,,,,,,,,,,,,,
73,,600831,5.17,0.780,17,600831.SH,398886259.0,广电网络,203065.0,9580974.0,0.050908,10.008,1117440.0,6468382.0,6.65,7585822.0,6.3,18783519.0,85.004,6.169,5.44,28364493.0
74,,600829,6.11,4.803,17,600829.SH,386592398.0,人民同泰,-167947.0,-7800585.0,-0.04344291,14.071,-3122398.0,3122398.0,12.16,0.0,11.2,11340303.0,40.217,10.0,9.16,3539718.0
75,,002759,18.99,1.226,33,002759.SZ,,天际股份,,,,,,,,,,,,,,
76,,600807,3.42,3.012,17,600807.SH,82023420.0,济南高新,44050.0,-5054254.0,0.05370417,9.634,436896.0,1615182.0,8.08,2052078.0,7.48,12786286.0,25.846,6.183,6.66,7732032.0
77,,002717,2.71,1.880,33,002717.SZ,,岭南股份,,,,,,,,,,,,,,
78,,002726,9.35,-1.058,33,002726.SZ,,龙大美食,,,,,,,,,,,,,,
79,,002745,8.57,3.005,33,002745.SZ,,木林森,,,,,,,,,,,,,,
80,,600863,4.41,0.456,17,600863.SH,572935293.0,内蒙华电,2024035.0,22626091.0,0.35327462,13.663,15978497.0,1490465.0,2.87,17468962.0,2.5,11872562.0,22.195,10.059,2.18,34498653.0
